id,Country,Area km2
1,Zimbabwe,388994.003560589
2,Zambia,752776.594988756
11,Marshall Islands,236.433598921582
3,Yemen,452563.839148459
7,Vanuatu,11253.6213566126
12,Northern Mariana Islands,392.144982365621
232,Argentina,2782471.63455931
4,Vietnam,327847.602617685
10,Federated States of Micronesia,521.858091012554
5,Venezuela,910445.542155894
6,Vatican,0.707514180657983
8,Uzbekistan,448019.078466871
9,Uruguay,177467.519485774
13,United States Virgin Islands,314.775243577171
14,Guam,480.40520095913
15,American Samoa,119.960655892906
16,Puerto Rico,8916.42723350637
17,United States of America,9455759.69690325
229,Norfolk Island,41.0885705281982
18,South Georgia and the Islands,3684.71298273749
19,British Indian Ocean Territory,131.844587739337
20,Saint Helena,185.129804791981
21,Pitcairn Islands,38.5911453725112
22,Anguilla,83.0133246436605
23,Falkland Islands,11429.9718819109
24,Cayman Islands,300.418800202477
25,Bermuda,65.9394314224472
26,British Virgin Islands,134.938841800088
27,Turks and Caicos Islands,329.369333731557
28,Montserrat,79.5129597206335
29,Jersey,126.738847191269
30,Guernsey,48.2126944038591
31,Isle of Man,559.744922458452
32,United Kingdom,240644.678608142
33,United Arab Emirates,71116.8498816567
35,Uganda,241474.235291663
41,Togo,56901.4295339076
34,Ukraine,571972.911655902
42,East Timor,14958.3013258625
36,Turkmenistan,471028.691328396
39,Trinidad and Tobago,5081.77159628768
40,Tonga,430.33149036762
37,Turkey,780476.052887594
38,Tunisia,156616.652655738
43,Thailand,513909.836122176
46,Taiwan,35915.5098384945
44,Tanzania,941735.010872807
45,Tajikistan,142395.486056894
47,Syria,185725.964365285
48,Switzerland,41316.2668158327
51,Suriname,144934.628493327
49,Sweden,445650.572494216
50,eSwatini,16961.6614515956
52,South Sudan,621326.946871885
53,Sudan,1856670.53681507
54,Sri Lanka,65763.584390705
55,Spain,506723.318840011
56,South Korea,97176.5883263579
57,South Africa,1220060.9655752
58,Somalia,471547.902026115
59,Somaliland,167804.057349739
60,Solomon Islands,25632.8872790921
61,Slovakia,48488.0367142507
62,Slovenia,20244.5869226379
63,Singapore,482.775667995443
64,Sierra Leone,71575.7350745405
65,Seychelles,173.630693120228
66,Republic of Serbia,77647.9483419372
67,Senegal,196609.124056254
71,Samoa,2691.7118420001
68,Saudi Arabia,1921563.54639789
69,São Tomé and Principe,981.457044177647
70,San Marino,68.3946454553108
72,Saint Vincent and the Grenadines,309.912489215709
73,Saint Lucia,549.263042664437
74,Saint Kitts and Nevis,232.173297583592
75,Rwanda,25272.6029090338
76,Russia,16973548.4175398
77,Romania,236340.052192966
78,Qatar,11051.6790359472
79,Portugal,90846.5793061497
80,Poland,313763.211475362
81,Philippines,289182.368796417
83,Paraguay,399949.397592882
82,Peru,1291025.65937093
108,Moldova,33207.761921897
84,Papua New Guinea,462299.200235658
109,Monaco,12.4374487786524
85,Panama,73934.8365036318
86,Palau,339.17115276143
88,Oman,311194.563641313
89,Norway,386809.318445331
87,Pakistan,872783.015490501
96,Cook Islands,60.4885520738081
110,Mexico,1957877.67172676
90,North Korea,122627.938593123
91,Nigeria,907835.551511101
101,Nauru,27.6708818712644
92,Niger,1181201.32232042
93,Nicaragua,128749.649547182
102,Namibia,822547.426527219
94,New Zealand,267248.956999356
95,Niue,196.385826654853
97,Netherlands,37277.5343948651
98,Aruba,154.66636559848
99,Curaçao,428.017867512953
100,Nepal,146977.045682545
103,Mozambique,788105.335589611
106,Montenegro,13689.7008617899
111,Mauritius,1873.86168648545
104,Morocco,581747.788486889
105,Western Sahara,90592.4764532581
230,Ashmore and Cartier Islands,2.70756796404314
107,Mongolia,1564511.09606148
112,Mauritania,1035383.82993595
113,Malta,273.816174218506
118,Madagascar,592828.713227019
114,Mali,1254119.47876977
115,Maldives,66.119007751448
119,Macedonia,25400.4467247151
116,Malaysia,326202.355617606
117,Malawi,119343.988166329
120,Luxembourg,2620.6598764561
121,Lithuania,64816.6597396324
122,Liechtenstein,138.344271209949
123,Libya,1623728.80312619
124,Liberia,95252.1140582862
125,Lesotho,29991.066545534
126,Lebanon,10009.0053420855
127,Latvia,64578.7698055776
128,Laos,228233.125675563
129,Kyrgyzstan,198928.307468953
130,Kuwait,17307.7566407879
131,Kosovo,10929.6007008276
132,Kiribati,933.383709616312
154,Grenada,284.910516627092
133,Kenya,592189.907263854
134,Kazakhstan,2720709.27969642
135,Jordan,88782.4067427306
136,Japan,370274.628555054
137,Jamaica,10898.0284963421
138,Italy,300793.533345788
139,Israel,22265.6619253895
140,Palestine,6328.73485979016
141,Ireland,68981.4466196179
142,Iraq,437232.830632769
143,Iran,1621856.11640445
144,Indonesia,1863914.86173168
145,India,3148249.77939552
146,Iceland,101819.317179334
147,Hungary,93213.7557757633
148,Honduras,113108.316856836
149,Haiti,26723.9433239877
150,Guyana,211022.958331791
151,Guinea-Bissau,31931.4150988148
152,Guinea,243939.511746565
153,Guatemala,108101.831677333
155,Greece,130274.275612643
156,Ghana,238558.537761009
157,Germany,357460.835567422
158,Georgia,69413.079009013
159,Gambia,10274.9087009886
160,Gabon,259499.944515658
161,France,636064.017602492
162,Saint Pierre and Miquelon,205.791293365126
163,Wallis and Futuna,131.192357565439
164,Saint Martin,48.8462458939226
165,Saint Barthelemy,24.4460627366076
169,Aland,764.087264965477
166,French Polynesia,2605.46655216833
167,New Caledonia,18615.9163554744
168,French Southern and Antarctic Lands,6993.97874809456
170,Finland,332611.525756621
171,Fiji,18346.4279297141
172,Ethiopia,1127095.78088846
173,Estonia,45697.9058035864
179,Dominican Republic,48440.3268795863
174,Eritrea,123247.776412237
175,Equatorial Guinea,26525.0547434178
176,El Salvador,20315.2682007551
180,Dominica,695.379794591656
177,Egypt,1001779.03292138
178,Ecuador,254528.713676368
181,Djibouti,21618.9417679871
182,Greenland,2171353.77267495
183,Faroe Islands,1041.35877913618
184,Denmark,42618.6780735144
185,Czechia,78743.9408889632
186,Northern Cyprus,3470.46276073671
187,Cyprus,5707.42064535318
198,Hong Kong S.A.R.,1026.31556157629
188,Cuba,109007.686570384
189,Croatia,54540.7287061209
199,Chile,737679.766323574
190,Ivory Coast,320933.685683489
191,Costa Rica,51303.3617880886
202,Cabo Verde,3572.69548282152
203,Canada,9923056.28368544
192,Democratic Republic of the Congo,2324449.58736227
207,Burundi,27087.0366388883
193,Republic of the Congo,345334.032906879
194,Comoros,1579.65529550381
212,Botswana,579136.994533713
195,Colombia,1134460.6552529
196,China,9373042.71124298
197,Macao S.A.R,22.6813103990049
200,Chad,1266568.52939591
201,Central African Republic,618323.413089494
204,Cameroon,463872.010228404
205,Cambodia,180669.807456931
215,Bhutan,39811.2893760138
206,Myanmar,660975.343758475
208,Burkina Faso,272627.381121907
209,Bulgaria,112612.461932592
210,Brunei,5647.19215502279
211,Brazil,8467129.34695552
213,Bosnia and Herzegovina,51789.3978791455
214,Bolivia,1086628.60805537
216,Benin,116105.113039414
217,Belize,22704.9932889078
218,Belgium,30740.2546527584
231,Armenia,29590.8847784837
219,Belarus,207560.22355188
220,Barbados,387.838456067629
224,Azerbaijan,86500.6120379559
221,Bangladesh,135340.817110684
222,Bahrain,540.434291614246
223,The Bahamas,12639.4236117881
225,Austria,84148.8003675875
226,Australia,7691283.75296118
227,Indian Ocean Territories,143.11795664137
228,Heard Island and McDonald Islands,420.278837796425
233,Antigua and Barbuda,431.405584829021
234,Angola,1244670.84722219
235,Andorra,442.554090533495
236,Algeria,2319293.36131175
237,Albania,28372.5641748065
238,Afghanistan,641833.128049571
239,Siachen Glacier,2118.13188282298
240,Antarctica,12356254.3851518
241,Sint Maarten,41.7063133136362
