State,MODIS Fires,MODIS Fires per 1000km2,Year
Acre,317,1.93216400805527,2001
Amapá,8,0.14361754320154,2001
Amazonas,530,0.339893632413522,2001
Mato Grosso,12823,21.4203930230172,2001
Pará,4021,4.50785507120531,2001
Rondônia,2163,9.10832829895288,2001
Roraima,2759,12.3700460641995,2001
Acre,1207,7.35685160164893,2002
Amapá,9,0.161569736101733,2002
Amazonas,2163,1.38715080549141,2002
Mato Grosso,47339,79.0782176804655,2002
Pará,20523,23.0078860050601,2002
Rondônia,7328,30.857988800151,2002
Roraima,1106,4.95877888619233,2002
Acre,2867,17.474808236891,2003
Amapá,50,0.897609645009625,2003
Amazonas,4738,3.03852081202881,2003
Mato Grosso,69009,115.277228583435,2003
Pará,14912,16.717516742555,2003
Rondônia,11391,47.9671602650819,2003
Roraima,11808,52.9414657216628,2003
Acre,1212,7.38732737464665,2004
Amapá,63,1.13098815271213,2004
Amazonas,3656,2.3446247549129,2004
Mato Grosso,91602,153.018080144617,2004
Pará,31216,34.9955742110781,2004
Rondônia,17152,72.2265589383448,2004
Roraima,3123,14.0020492419337,2004
Acre,8907,54.2895420181334,2005
Amapá,99,1.77726709711906,2005
Amazonas,11633,7.46034457710661,2005
Mato Grosso,53278,88.9991187304303,2005
Pará,40288,45.1659948044565,2005
Rondônia,21579,90.8685235150736,2005
Roraima,1541,6.90911235408895,2005
Acre,1760,10.7274720951965,2006
Amapá,25,0.448804822504813,2006
Amazonas,5629,3.60992689972777,2006
Mato Grosso,32453,54.2116520920203,2006
Pará,18186,20.3879264672817,2006
Rondônia,12613,53.112965711832,2006
Roraima,2325,10.4241961215164,2006
Acre,2330,14.2017102169362,2007
Amapá,22,0.394948243804235,2007
Amazonas,6890,4.41861722137579,2007
Mato Grosso,45664,76.2801861501252,2007
Pará,24503,27.4697768738482,2007
Rondônia,12113,51.0074806681536,2007
Roraima,6022,26.9997888360309,2007
Acre,1213,7.39342252924619,2008
Amapá,17,0.305187279303273,2008
Amazonas,4182,2.68195315236481,2008
Mato Grosso,16166,27.0047628176008,2008
Pará,17284,19.3767140141041,2008
Rondônia,5300,22.3181414629913,2008
Roraima,2750,12.3296943372775,2008
Acre,418,2.54777462260916,2009
Amapá,13,0.233378507702503,2009
Amazonas,2450,1.57120641398704,2009
Mato Grosso,12083,20.1842477499116,2009
Pará,6124,6.86548233177352,2009
Rondônia,1428,6.01326528474559,2009
Roraima,2007,8.99843510360579,2009
Acre,3240,19.7483009025207,2010
Amapá,10,0.179521929001925,2010
Amazonas,8670,5.5601467792929,2010
Mato Grosso,35732,59.6891120251462,2010
Pará,28039,31.4339090628017,2010
Rondônia,13088,55.1131765033265,2010
Roraima,3067,13.7509718299746,2010
Acre,687,4.18737120988634,2011
Amapá,19,0.341091665103658,2011
Amazonas,2434,1.56094547414059,2011
Mato Grosso,10586,17.6835592717507,2011
Pará,3985,4.46749625932682,2011
Rondônia,3452,14.5362687415559,2011
Roraima,1383,6.20071537034719,2011
Acre,746,4.54698533125941,2012
Amapá,74,1.32846227461425,2012
Amazonas,4692,3.00902060997028,2012
Mato Grosso,19631,32.7929295355884,2012
Pará,11071,12.4114557307421,2012
Rondônia,3420,14.4015176987604,2012
Roraima,1269,5.68959349600187,2012
Acre,957,5.83306295176307,2013
Amapá,19,0.341091665103658,2013
Amazonas,2176,1.39548781911665,2013
Mato Grosso,14652,24.4756764074902,2013
Pará,2706,3.03363735953284,2013
Rondônia,1608,6.77123990046982,2013
Roraima,1949,8.73839064121957,2013
Acre,1221,7.44218376604254,2014
Amapá,32,0.57447017280616,2014
Amazonas,5436,3.48615431283001,2014
Mato Grosso,19804,33.0819202548414,2014
Pará,11387,12.7657164127866,2014
Rondônia,4696,19.7747155302278,2014
Roraima,3390,15.199150473953,2014
Acre,1820,11.0931813711691,2015
Amapá,25,0.448804822504813,2015
Amazonas,7035,4.51160698873421,2015
Mato Grosso,15612,26.0793243293569,2015
Pará,10272,11.5157143226613,2015
Rondônia,7306,30.7653474582292,2015
Roraima,3403,15.2574363017292,2015
Acre,3570,21.7597019203701,2016
Amapá,40,0.7180877160077,2016
Amazonas,10569,6.77799207731796,2016
Mato Grosso,21487,35.893315517864,2016
Pará,10087,11.3083148727302,2016
Rondônia,8267,34.8120897121791,2016
Roraima,10436,46.7900691286647,2016
Acre,1535,9.35606231029918,2017
Amapá,22,0.394948243804235,2017
Amazonas,9856,6.32073894541071,2017
Mato Grosso,15699,26.2246549222761,2017
Pará,15411,17.2769347183151,2017
Rondônia,7141,30.0705373938153,2017
Roraima,1022,4.58216276825367,2017
Acre,1443,8.79530808714118,2018
Amapá,36,0.64627894440693,2018
Amazonas,6104,3.91454855141913,2018
Mato Grosso,14186,23.6972389787508,2018
Pará,3570,4.0022488446165,2018
Rondônia,4623,19.4673147138507,2018
Roraima,5250,23.5385073711661,2018
Acre,3424,20.8698093488367,2019
Amapá,14,0.251330700602695,2019
Amazonas,12966,8.31520912806364,2019
Mato Grosso,25336,42.3229414045982,2019
Pará,14470,16.2220002189358,2019
Rondônia,12933,54.4604761397862,2019
Roraima,14948,67.0197348922269,2019
