State,VIIRS Fires,VIIRS Fires per 1000km2,Year
Acre,2931,17.8648981312618,2012
Amapá,25,0.448804822504813,2012
Amazonas,15608,10.009546820208,2012
Mato Grosso,63538,106.138105895381,2012
Pará,49032,54.9687017784976,2012
Rondônia,11793,49.6599702401994,2012
Roraima,4333,19.4271147503358,2012
Acre,3494,21.2964701708048,2013
Amapá,63,1.13098815271213,2013
Amazonas,7825,5.01824089365248,2013
Mato Grosso,41745,69.7336276024215,2013
Pará,11660,13.0717707361984,2013
Rondônia,6114,25.7458711140998,2013
Roraima,9878,44.2882620595008,2013
Acre,4509,27.4830520893414,2014
Amapá,113,2.02859779772175,2014
Amazonas,18253,11.7058084385736,2014
Mato Grosso,63117,105.434839462979,2014
Pará,48435,54.2994181481793,2014
Rondônia,17418,73.3466769815817,2014
Roraima,14791,66.3158214336987,2014
Acre,6760,41.2032450929137,2015
Amapá,155,2.78258989952984,2015
Amazonas,26151,16.7708648702755,2015
Mato Grosso,43111,72.015484957911,2015
Pará,40278,45.1547840233791,2015
Rondônia,28282,119.094656010627,2015
Roraima,15239,68.3244407293715,2015
Acre,11820,72.0447273666035,2016
Amapá,141,2.53125919892714,2016
Amazonas,35694,22.8908741799401,2016
Mato Grosso,58622,97.9260921621549,2016
Pará,40474,45.3745153324953,2016
Rondônia,29838,125.646925466554,2016
Roraima,41156,184.523963689088,2016
Acre,5219,31.8106118550172,2017
Amapá,69,1.23870131011328,2017
Amazonas,33419,21.4318967955236,2017
Mato Grosso,42978,71.7933129020691,2017
Pará,58778,65.8947290164898,2017
Rondônia,25401,106.962851188951,2017
Roraima,4991,22.3772743408553,2017
Acre,5498,33.5111599882898,2018
Amapá,90,1.61569736101733,2018
Amazonas,21473,13.7708225826709,2018
Mato Grosso,36408,60.8183474367939,2018
Pará,15690,17.5897155103734,2018
Rondônia,16176,68.1166521330845,2018
Roraima,22329,100.11263449348,2018
Acre,10751,65.5290070996915,2019
Amapá,43,0.771944294708278,2019
Amazonas,46074,29.5476589053219,2019
Mato Grosso,75210,125.635791878743,2019
Pará,62289,69.83083425275,2019
Rondônia,46666,196.509130096595,2019
Roraima,57133,256.157246026064,2019
